analysis_id,1i22c3l5s001xyu
gene_accession_id,MGI:3045306
mouse_strain,C57BL
gene_symbol,Exd1
parameter_name,KLRG1+ gd T cells - % of CD45+
pvalue,1.361856
mouse_life_stage,Early adult
parameter_id,MGP_IMM_089_001
