parameter_name,Stroke Volume
mouse_life_stage,Early adult
gene_symbol,Slc2a8
mouse_strain,C57BL
analysis_id,bc577vp37x3212k
parameter_id,IMPC_ECH_003_001
gene_accession_id,MGI:1860103
pvalue,0.6959561
