analysis_id,7471a8x571eq187
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_011_001
parameter_name,Coat - hair distribution - back
mouse_strain,C57BL
gene_symbol,Hrnr
pvalue,0.4332453
gene_accession_id,MGI:3046938
