analysis_id,w4my169963809xb
gene_symbol,Nanp
mouse_life_stage,E18.5
mouse_strain,C57BL
gene_accession_id,MGI:1914561
pvalue,0.3824227
parameter_name,center - resting time
parameter_id,M-G-P_007_001_011
