gene_symbol,Tnfsf8
gene_accession_id,MGI:88328
parameter_id,M-G-P_016_001_001
parameter_name,White blood cell-count
mouse_strain,C57BL
pvalue,0.7801111
mouse_life_stage,Early adult
analysis_id,d6089go56f132qx
