analysis_id,2o42d2d77143424
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_008_001
gene_accession_id,MGI:109585
pvalue,0.2657963
mouse_strain,C57BL
parameter_name,Platelet count
gene_symbol,Pld1
