gene_symbol,Galk2
analysis_id,23n4x7m72821z17
pvalue,1.69924e-06
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Retinal Blood Vessels Pattern
gene_accession_id,MGI:1917226
parameter_id,IMPC_EYE_026_001
