gene_symbol,Bmi1
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_015_001
parameter_name,Total cholesterol
gene_accession_id,MGI:88174
pvalue,0.1269815
mouse_strain,C57BL
analysis_id,qnzc509t68gty0z
