parameter_name,NK Subsets (Q1)
gene_symbol,Ubxn11
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_054_001
pvalue,0.2227109
gene_accession_id,MGI:1914836
mouse_strain,C57BL
analysis_id,08uf57v1lt32ua1
