parameter_id,JAX_URI_002_001
mouse_strain,C57BL
pvalue,0.3758996
mouse_life_stage,Early adult
parameter_name,Creatinine
gene_accession_id,MGI:1274787
gene_symbol,Trdmt1
analysis_id,35axu0h4x2f9sx5
