gene_symbol,Lpgat1
analysis_id,c77jq4hr3v404hs
mouse_strain,C57BL
parameter_name,Total ab T cells - % of CD45+
parameter_id,MGP_IMM_070_001
gene_accession_id,MGI:2446186
mouse_life_stage,E18.5
pvalue,0.8394665
