gene_symbol,Kdm5b
parameter_name,Aggression
pvalue,0.1490613
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1922855
analysis_id,iw496j5iu4n8bg1
parameter_id,IMPC_CSD_079_001
