gene_symbol,Zmynd8
gene_accession_id,MGI:1918025
mouse_strain,C57BL
parameter_id,MGP_MLN_032_001
analysis_id,i743z9353zip5j4
mouse_life_stage,Early adult
parameter_name,Effector NK cells - % of NK cells
pvalue,0.5756195
