analysis_id,l3g1nauyl1t17b3
mouse_life_stage,Early adult
gene_symbol,Trim46
gene_accession_id,MGI:2673000
mouse_strain,C57BL
parameter_name,Center average speed
parameter_id,HRWLLA_OFD_017_001
pvalue,0.8284797
