parameter_name,Vocalization
analysis_id,rm4245jh04nlx2p
parameter_id,IMPC_CSD_078_001
gene_symbol,Duoxa2
pvalue,1.041571
gene_accession_id,MGI:1914061
mouse_life_stage,Early adult
mouse_strain,C57BL
