analysis_id,03h4l4a6rz3ci41
mouse_strain,C57BL
gene_accession_id,MGI:96757
parameter_id,IMPC_CSD_008_001
mouse_life_stage,Early adult
pvalue,0.09692688
gene_symbol,Lcn2
parameter_name,Coat - color pattern - back
