analysis_id,191t804slp91t36
gene_accession_id,MGI:1914061
gene_symbol,Duoxa2
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
mouse_life_stage,Early adult
pvalue,0.06899314
parameter_id,IMPC_IMM_004_002
mouse_strain,C58BL
