gene_symbol,Pld1
pvalue,0.2422392
parameter_name,Breath rate during sleep mean
analysis_id,7jikur0900cw6y1
parameter_id,JAX_SLW_013_001
gene_accession_id,MGI:109585
mouse_life_stage,Early adult
mouse_strain,C57BL
