parameter_name,Placenta Morphology
parameter_id,IMPC_GPO_002_001
mouse_strain,C57BL
analysis_id,i663x2x4nxig8b2
gene_accession_id,MGI:2653612
gene_symbol,Amigo1
pvalue,0.9375534
mouse_life_stage,Early adult
