gene_symbol,Rhbg
mouse_strain,C57BL
parameter_id,IMPC_IMM_047_001
analysis_id,61c5b2m3j9t8j8e
gene_accession_id,MGI:1927379
mouse_life_stage,Early adult
pvalue,0.9699684
parameter_name,DN CD44+CD62L+ NKT cells
