analysis_id,oe586w7375z81kp
parameter_name,CD4+ alpha beta T cell percentage
gene_symbol,Ivd
mouse_life_stage,Early adult
parameter_id,MGP_PBI_003_001
pvalue,0.2108709
gene_accession_id,MGI:1929242
mouse_strain,C57BL
