parameter_name,Vibrissae - appearance
gene_accession_id,MGI:2446186
analysis_id,1483x3n8f3781yt
gene_symbol,Lpgat1
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.6390822
parameter_id,HMGULA_DYS_024_001
