gene_symbol,Prkcq
parameter_name,Body Weight
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,u7431k75141s0fc
parameter_id,M-G-P_012_001_005
pvalue,0.8375133
gene_accession_id,MGI:97601
