analysis_id,8o09117i0wi9441
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:3522699
parameter_id,IMPC_GRS_011_001
gene_symbol,Trpa1
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
pvalue,0.2166575
