parameter_name,Periphery permanence time
gene_symbol,Cntfr
pvalue,0.1274396
parameter_id,JAX_OFD_012_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,hewr9276sufa694
gene_accession_id,MGI:99605
