parameter_name,CD8 CD44-CD62L+ T cells
pvalue,0.5511326
mouse_strain,C57BL
gene_accession_id,MGI:1922745
gene_symbol,Morn5
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_034_001
analysis_id,8s85xpwx212p748
