gene_symbol,Snrpb2
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1250339
gene_accession_id,MGI:104805
analysis_id,2rbxi08g451no11
parameter_id,M-G-P_026_001_004
parameter_name,Coat colouration
