analysis_id,6k77zz6975349jw
gene_accession_id,MGI:2684980
gene_symbol,Mms22l
parameter_id,IMPC_CSD_070_001
pvalue,0.6886965
mouse_life_stage,Early adult
parameter_name,Lower teeth appearance
mouse_strain,C57BL
