parameter_name,Lens
pvalue,0.7554998
analysis_id,j17617vd9883xx5
mouse_life_stage,Early adult
gene_symbol,Mecom
gene_accession_id,MGI:95457
mouse_strain,C3H
parameter_id,IMPC_EYE_016_001
