analysis_id,e0xa5306n85z0n2
gene_accession_id,MGI:2670995
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.809675
gene_symbol,Trp53i11
parameter_id,ICS_FEA_019_001
parameter_name,% Freezing duration pre-cue-2
