parameter_name,Radius
Gene_accession_id,MGI:1916222
Pvalue,0.08573585
Analysis_id,ggq5c1639j59498
Mouse_strain,C57BL
parameter_id,IMPC_XRY_022_001
Mouse_life_stage,Early adult
Gene_symbol,Tatdn3
