parameter_name,Percent time in dark
parameter_id,JAX_LDT_008_001
pvalue,0.7485986
gene_accession_id,MGI:1924315
gene_symbol,Ints7
mouse_strain,C57BL
analysis_id,b4o47379844xn8z
mouse_life_stage,E9.5
