parameter_name,Periphery distance travelled
gene_symbol,Kif24
parameter_id,ESLIM_007_001_006
analysis_id,2ksy903861j0yt1
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1918345
pvalue,0.3155285
