analysis_id,91p019k90dtdcyh
gene_accession_id,MGI:1914583
parameter_id,HRWLLA_OFD_013_001
gene_symbol,Stk35
pvalue,0.226446
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Periphery average speed
