parameter_name,Midbrain
analysis_id,5tmuu917wmw9690
mouse_life_stage,Early adult
pvalue,0.5755132
parameter_id,IMPC_GEL_029_001
mouse_strain,C57BL
gene_accession_id,MGI:1914071
gene_symbol,Bcs1l
