gene_symbol,Eprs1
mouse_strain,C57BL
gene_accession_id,MGI:97838
mouse_life_stage,E9.5
analysis_id,x50yx3evp00wu93
parameter_name,Tremor
pvalue,0.1958646
parameter_id,IMPC_CSD_030_001
