analysis_id,990jgbx5krluvf7
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Tnfsf10
parameter_name,MZB (CD21/35 high)
parameter_id,IMPC_IMM_071_001
pvalue,0.9948869
gene_accession_id,MGI:107414
