parameter_name,Respiration Rate
gene_accession_id,MGI:1924360
mouse_strain,C57BL
gene_symbol,Gpbp1l1
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_018_001
pvalue,0.4956231
analysis_id,67ai01fwf5fjc54
