gene_symbol,Mms22l
analysis_id,i9061268p6a4112
gene_accession_id,MGI:2684980
pvalue,0.103209
mouse_life_stage,Early adult
parameter_id,JAX_OFD_022_001
mouse_strain,C57BL
parameter_name,Percentage center time
