gene_symbol,Zyg11b
parameter_id,MGP_PBI_004_001
gene_accession_id,MGI:2685277
mouse_strain,C57BL
analysis_id,n8m3r8c8q55uj59
mouse_life_stage,E18.5
parameter_name,CD8+ alpha beta T cell percentage
pvalue,0.7551369
