analysis_id,368rrq407i359p1
parameter_id,IMPC_EYE_013_001
parameter_name,Pupil Dilation
mouse_strain,C57BL
mouse_life_stage,E9.5
pvalue,0.06800161
gene_symbol,Cdin1
gene_accession_id,MGI:3026886
