parameter_id,TCPLA_GRS_011_001
mouse_strain,C57BL
pvalue,0.4980831
gene_accession_id,MGI:2441730
mouse_life_stage,Early adult
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
analysis_id,16k8j05e60s54m2
gene_symbol,Tbl1xr1
