analysis_id,1i6b56111a62p46
pvalue,0.3124865
gene_accession_id,MGI:1915087
mouse_life_stage,E12.5
gene_symbol,Tiprl
parameter_name,Retina (combined)
mouse_strain,C57BL
parameter_id,JAXLA_EYE_092_001
