parameter_name,Shape of ribcage
parameter_id,IMPC_XRY_059_001
gene_accession_id,MGI:1927232
mouse_life_stage,Early adult
gene_symbol,Rab13
pvalue,0.05392497
analysis_id,pf6mr17o2qu8e79
mouse_strain,C57BL
