gene_symbol,Kif24
mouse_life_stage,Early adult
gene_accession_id,MGI:1918345
parameter_name,CD8+ alpha beta T cell percentage
parameter_id,MGP_PBI_004_001
mouse_strain,C57BL
analysis_id,ettvazvfg1800f7
pvalue,0.7299727
