analysis_id,vny88v6k5c7y379
gene_accession_id,MGI:1923959
mouse_strain,C57BL
gene_symbol,Arpc2
parameter_id,IMPC_HEM_006_001
mouse_life_stage,Early adult
parameter_name,Mean corpuscular hemoglobin
pvalue,0.55928
