analysis_id,n207d6f5b78031t
parameter_name,Coat - color - abdomen
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2444777
pvalue,0.4996863
parameter_id,JAXLA_CSD_007_001
gene_symbol,Ncaph
