gene_symbol,Tatdn3
pvalue,0.4561909
analysis_id,0b5978q387vk61k
gene_accession_id,MGI:1916222
mouse_life_stage,Early adult
parameter_name,Monocytes
mouse_strain,C57BL
parameter_id,IMPC_IMM_051_001
