analysis_id,g7n7wc67vmwm9b3
gene_symbol,Cdin1
gene_accession_id,MGI:3026886
pvalue,0.7485538
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_id,MGP_IMM_079_001
parameter_name,KLRG1+ Treg cells - % of CD45+
