parameter_name,Mean cell volume
analysis_id,56tn906128sh201
pvalue,0.5138862
mouse_strain,C57BL
parameter_id,ESLIM_016_001_005
gene_accession_id,MGI:1914836
mouse_life_stage,Early adult
gene_symbol,Ubxn11
