gene_symbol,Sfpq
pvalue,0.5527711
parameter_id,MGP_IMM_094_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1918764
mouse_strain,C57BL
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
analysis_id,z953h06iky3nn1y
