parameter_name,Fusion of vertebrae
gene_symbol,Slc30a4
mouse_life_stage,Early adult
gene_accession_id,MGI:1345282
analysis_id,908b2nod2089rrn
pvalue,0.547862
parameter_id,M-G-P_006_001_026
mouse_strain,C57BL
