analysis_id,54153ul88wo3q4m
gene_accession_id,MGI:88328
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_057_001
parameter_name,Heart looping
gene_symbol,Tnfsf8
mouse_strain,C57BL
pvalue,0.1439859
