parameter_name,Eye
gene_accession_id,MGI:1919949
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,M-G-P_013_001_001
gene_symbol,Lime1
analysis_id,p67s9o1z8v49b2t
pvalue,0.1121526
