parameter_name,Periphery average speed
pvalue,0.1374833
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Lime1
parameter_id,JAX_OFD_013_001
analysis_id,4o353cp279gt5p3
gene_accession_id,MGI:1919949
