gene_symbol,RAB3GAP2
analysis_id,2a3l4i3rljyp9ym
mouse_life_stage,Early adult
parameter_name,Corneal vascularization
pvalue,0.7240811
mouse_strain,C57BL
gene_accession_id,MGI:1916043
parameter_id,IMPC_EYE_009_001
