gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_id,UCDLA_EYE_083_001
pvalue,0.8210333
parameter_name,Vitreous
analysis_id,6558f6n7p0bksbj
