analysis_id,0601pgmj22570ot
pvalue,0.05185328
mouse_strain,C57BL
mouse_life_stage,E15.5
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
parameter_id,IMPC_FEA_106_001
gene_symbol,Bmi1
gene_accession_id,MGI:88174
