parameter_name,Startle response
analysis_id,3xkwv2k062vly7c
gene_accession_id,MGI:1913576
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Dnajc5b
parameter_id,IMPC_CSD_036_001
pvalue,0.9522173
