analysis_id,q7d63p1pkj429n4
parameter_name,KLRG1+ NK cells - % of CD45+
gene_accession_id,MGI:2446274
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
pvalue,0.3331329
parameter_id,MGP_IMM_101_001
gene_symbol,Frmpd1
