parameter_name,6kHz-evoked ABR Threshold
pvalue,5.096119e-12
mouse_life_stage,Early adult
gene_accession_id,MGI:1914061
analysis_id,4s1my4197f7crc4
gene_symbol,Duoxa2
parameter_id,IMPC_ABR_004_001
mouse_strain,C57BL
