parameter_name,Skull shape
analysis_id,3y3ti8f42zw8l7h
gene_symbol,Traf6
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:108072
pvalue,0.6857317
parameter_id,IMPC_XRY_001_001
