parameter_name,Triglycerides
pvalue,0.3842891
parameter_id,HMGULA_CBC_017_001
mouse_life_stage,Early adult
gene_symbol,Lime1
gene_accession_id,MGI:1919949
analysis_id,ls6xi3uk5961116
mouse_strain,C57BL
