analysis_id,6hcsa1082020r80
mouse_life_stage,E12.5
parameter_name,KLRG1+ mature NK cell number
gene_symbol,Dmap1
parameter_id,MGP_PBI_031_001
mouse_strain,C57BL
pvalue,0.6146886
gene_accession_id,MGI:1913483
